config_str,phase,Metric,Performance,action_dim,batch_size,drop_prob,gamma,hidden_dim,lr,num_epochs,num_hidden,option,state_dim,target_update,use_scheduler
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,train,loss,1.365694644162078,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,train,loss,1.3999755089127537,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,train,value,1.365694644162078,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,train,value,1.3999755089127537,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,train,empirical_value,1.365694644162078,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,train,empirical_value,1.3999755089127537,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,val,loss,1.6819621418979298,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,val,loss,1.311248615307842,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,val,value,1.6819621418979298,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,val,value,1.311248615307842,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,val,empirical_value,1.6819621418979298,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_128_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7705,val,empirical_value,1.311248615307842,25,512,0.0,0.9,128,0.0001,2,3,linear,46,10,False
