config_str,phase,epoch,Metric,Performance,action_dim,batch_size,drop_prob,gamma,hidden_dim,lr,num_epochs,num_hidden,option,state_dim,target_update,use_scheduler
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,train,0,loss,1.4144587809931046,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,train,1,loss,1.374565933360981,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,train,0,value,1.200446972576443,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,train,1,value,1.5144218710764277,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,train,0,empirical_value,0.1083205323976959,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,train,1,empirical_value,0.8178347952669284,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,val,0,loss,1.6330162266991888,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,val,1,loss,1.3053662314751742,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,val,0,value,1.0215583168740405,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,val,1,value,1.5668208911938701,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,val,0,empirical_value,0.14530163518970063,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_1_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_3973892,val,1,empirical_value,0.9409575018204345,25,512,0.0,0.9,256,0.0001,2,1,linear,46,10,False
