,phase,Metric,Performance,config_str
0,train,loss,1.3218105969387004,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
1,train,loss,1.369528580325469,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
2,train,loss,1.3346072043329515,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
3,train,loss,1.3329416673996604,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
4,train,loss,1.3332350690859671,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
5,train,value,1.3218105969387004,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
6,train,value,1.369528580325469,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
7,train,value,1.3346072043329515,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
8,train,value,1.3329416673996604,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
9,train,value,1.3332350690859671,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
10,train,empirical_value,1.3218105969387004,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
11,train,empirical_value,1.369528580325469,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
12,train,empirical_value,1.3346072043329515,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
13,train,empirical_value,1.3329416673996604,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
14,train,empirical_value,1.3332350690859671,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
0,val,loss,1.7046826131268191,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
1,val,loss,1.3053430570916729,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
2,val,loss,1.30309022261152,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
3,val,loss,1.3036124285070287,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
4,val,loss,1.3040998538904571,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
5,val,value,1.7046826131268191,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
6,val,value,1.3053430570916729,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
7,val,value,1.30309022261152,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
8,val,value,1.3036124285070287,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
9,val,value,1.3040998538904571,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
10,val,empirical_value,1.7046826131268191,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
11,val,empirical_value,1.3053430570916729,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
12,val,empirical_value,1.30309022261152,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
13,val,empirical_value,1.3036124285070287,action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_5_num_hidden_5_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_0443065
