,phase,Metric,Performance,config_str
0,train,loss,1.3116181284562412,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
1,train,loss,1.3310801066599263,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
2,train,loss,1.3169601829229782,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
3,train,value,1.3116181284562412,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
4,train,value,1.3310801066599263,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
5,train,value,1.3169601829229782,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
6,train,empirical_value,1.3116181284562412,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
7,train,empirical_value,1.3310801066599263,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
8,train,empirical_value,1.3169601829229782,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
0,val,loss,1.530337835993225,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
1,val,loss,1.2899454192959054,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
2,val,loss,1.2852684528581195,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
3,val,value,1.530337835993225,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
4,val,value,1.2899454192959054,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
5,val,value,1.2852684528581195,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
6,val,empirical_value,1.530337835993225,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
7,val,empirical_value,1.2899454192959054,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
8,val,empirical_value,1.2852684528581195,state_dim_46action_dim_25_gamma_0.9_batch_size_512_lr_0.0001_num_epochs_3_hidden_dim_512_num_hidden_10_drop_prob_0.0_target_update_10_option_linear_use_scheduler_False_time_514206
